,Fluorescent labeling,FRAGMENTS,FREQUENCY
58983,Yes,ccc1ccc(O)cc1c,246
56650,Yes,ccc(cc)CC(NC)C(=O)O,246
11417,No ,Cc1ccccc1C,246
23637,No ,cc(c)OCC,245
42365,Yes,CCN(c)C,245
4563,No ,CCN(CC)c1ccccc1,245
27647,No ,ccc(C#N)cc,244
38409,No ,oc1ccccc1,243
11449,No ,Cc1ccccc1Cl,243
60532,Yes,csc1ccccc1n,243
20570,No ,cc([nH])C(=O)N(C)C,242
50894,Yes,cc(c)CC(NC(=O)O)C(=O)OC,242
44672,Yes,Nc1ccc2ccc(=O)oc2c1,242
22771,No ,cc(c)CN1CCCCC1,242
47642,Yes,cCC(NC(=O)OC)C(=O)O,242
14210,No ,Nc1nc2ccccc2s1,241
47644,Yes,cCC(NC)C(=O)OC,241
41653,Yes,CC(N)Cc1cccc(n)c1,241
60049,Yes,cnc1cc(CC)ccc1o,241
60118,Yes,cnc1ccccc1s,241
58956,Yes,ccc1ccc(-c)cc1c,240
35205,No ,cnc(NC(=O)c(c)c)sc,240
21232,No ,cc(c)-c1noc(C)n1,240
56352,Yes,ccc(cc)-c1nc(c)c(c)o1,240
17588,No ,cCc1ccccc1,239
42442,Yes,CCOC(c)=O,238
2199,No ,CC1CC2CCC1C2,238
49749,Yes,cc(c)-c1ccc(c)c(c(c)c)c1,238
28585,No ,ccc(F)c(c)N,238
38093,No ,nc(s)-c1ccccc1,237
55480,Yes,ccc(=O)oc,237
43904,Yes,Cc1ccc(C(F)(F)F)cc1,236
52333,Yes,cc(s)-c1ccc(C)cc1,236
52773,Yes,cc1c(c)C(CC)(CC)c2cc(-c)ccc2-1,235
12089,No ,Cc1nc2ccccc2n1C,235
36640,No ,cnn(-c1ccccc1)c(c)C,234
51862,Yes,cc(c)n(-c1ccccc1)c(-c)n,234
18411,No ,cNC(=O)c1ccccc1,234
41141,Yes,C=[O+][B-](F)(F)OC,234
26835,No ,cc1ccccn1,234
7250,No ,CNC(=O)CN,233
60201,Yes,coc(=O)c(c)-c,232
23887,No ,cc(c)[N+](=O)[O-],230
2653,No ,CCC(=O)Nc,230
45892,Yes,[B-]n1c(C)cc(C)c1C,230
59854,Yes,cnc(oc)-c1ccccc1,230
49261,Yes,cc([nH])-c1ccccc1,228
7054,No ,CN1CCN(S(c)(=O)=O)CC1,228
57944,Yes,ccc1c(c)NCCC1,227
7866,No ,CNCc1ccccc1,227
13592,No ,NC1CCCC1,226
47797,Yes,cN1CCOCC1,226
40146,Yes,C=CC(=O)c(c)c,225
13365,No ,NC(=O)c1ccc(-n)cc1,225
47356,Yes,cC(=O)c1ccccc1-c,225
58223,Yes,ccc1c(c)cC(=O)N(c(c)c)C1=O,224
41509,Yes,CC(C)(c)c1ccccc1N,224
17091,No ,cCN1CCN(c)CC1,224
41473,Yes,CC(C)(C)c1ccc(-n)cc1,224
21373,No ,cc(c)-n1cccn1,222
56349,Yes,ccc(cc)-c1nc(c)c(c)n1-c(c)c,222
52231,Yes,cc(o)-c1ccccc1,222
39098,Yes,C=C(C)CC,221
38945,Yes,C1CCNCC1,221
1193,No ,CC(C)N1CCN(C)CC1,221
9375,No ,COc1cccc(C)c1,221
23841,No ,cc(c)S(C)(=O)=O,219
43754,Yes,Cc1cc(C)n([B-]([N+])(F)F)c1C,219
4246,No ,CCN(C)C,218
26253,No ,cc1cN(C)CCC1,218
57564,Yes,ccc1c(c)-c(c)c(cc)C1(CCC)CCC,217
28456,No ,ccc(Cl)c(c)-c,217
42318,Yes,CCN(C)C,217
43573,Yes,C[Si](C)(C)[Si](c)([Si])[Si],216
19073,No ,cOc1ccccc1,216
318,No ,CC(=O)N1CCC(N)CC1,216
53074,Yes,cc1cC(=O)c2ccccc2C1=O,216
44176,Yes,Cc1cccc2ccccc12,216
6538,No ,CN(C)c1ccccn1,215
355,No ,CC(=O)N1CCCCC1,215
15664,No ,c1ccc2c(c1)OCCO2,215
21628,No ,cc(c)C(=O)N(C)c,214
39555,Yes,C=C(c)c1ccc(N)cc1,212
25186,No ,cc(o)-c1ccccc1,212
41616,Yes,CC(C)[Si](C)(c)c,212
7529,No ,CNC(C)=O,212
46139,Yes,[Si]c1ccccc1,211
33635,No ,cn(C)c(=O)n(c)C,211
28459,No ,ccc(Cl)c(c)Cl,211
2081,No ,CC12CC3CC(CC(C3)C1)C2,210
39189,Yes,C=C(C)c1ccc(C)cc1,210
51273,Yes,cc(c)S(N)(=O)=O,210
45174,Yes,[B-][N+]1=C(C)C=C(C)C1=C,209
10717,No ,Cc1ccc(-c)cc1,209
10044,No ,Cc1[nH]c2ccccc2c1C,209
55842,Yes,ccc(OCCC)c(c)O,208
15600,No ,c-n1cncn1,208
55841,Yes,ccc(OCCC)c(c)C,208
10992,No ,Cc1ccc(N(C)C)nc1,208
54056,Yes,cc1ccc(C(N)=O)c(c)c1,206
50482,Yes,cc(c)C(C)=O,206
3827,No ,CCCCCN(C)C,205
26111,No ,cc1cCCCC1,204
42182,Yes,CCCCCC(C)(c)c,204
10359,No ,Cc1cc(C)n(-c)n1,204
